1,'@ValaAfshar !!'
2,'Webcast link https://t.co/TrtjKph4Mk'
3,'Tesla AI Day 2022 starts at precisely 6:15pm California time'
4,"'@teslaownersSV @Tesla Tesla team is awesome, such an honor to work with them!'"
5,'@MuskUniversity Now'
6,'@WholeMarsBlog That is not cgi'
7,'@WholeMarsBlog The hands of Optimus'
8,'@engineers_feed I still love the 747. Epic plane.'
9,'@SawyerMerritt Haha 💯'
10,'@Rainmaker1973 Such an incredible engine!'
11,'@ajtourville 🤣'
12,'@NASAHubble @NASA @SpaceX Yay'
13,'@MuskUniversity True'
14,"'Needs be able to get from Starbase to South Padre Island, which requires crossing the channel'"
15,'@WholeMarsBlog Off-label use 🤣'
16,"'Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy'"
17,'@phibetakitten Submarines use electric motors under water …'
18,'Works on land too'
19,'As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference'
20,"'Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical https://t.co/BcxAEv6qJd'"
21,'@stevenmarkryan Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.'
22,'@WholeMarsBlog @Gfilche There will be lots of technical detail &amp; cool hardware demos'
23,'@Gfilche Good analysis'
24,'Rated for 280+ kph (174+ mph) winds https://t.co/qJBdykpTT9'
25,'Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT'
26,'Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq'
27,'@BryceSpaceTech @SpaceX Still very tiny potatoes compared to what’s needed to make life multiplanetary'
28,'@BryceSpaceTech @SpaceX SpaceX now delivering about twice as much payload to orbit as rest of world combined'
29,'@Reuters Extremely concerning'
30,"'@Teslarati @KlenderJoey How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …'"
31,'@alex_avoigt They need to add a lot of batteries to the grid to buffer energy'
32,'https://t.co/mEBAgBCCkj'
33,'I guess this joke is a slow burn … 🥁'
34,'@WholeMarsBlog Big improvement in high speed cross-traffic velocity NN coming next month'
35,'@chrispavlovski @dbongino @rustyrockets Maybe worth talking at some point'
36,'Make “hair on fire” not just a metaphor'
37,'https://t.co/1hbMzueALi'
38,'Stand out in a crowd! Get noticed as you walk through the airport!'
39,"'Coming soon from @BoringCompany, the same people that sold you a Flamethrower'"
40,'“Burnt Hair” – Scent for Men by Singed'
41,'@dbongino @rustyrockets I’m a little preoccupied rn'
42,'@ID_AA_Carmack Batteries ftw'
43,'@rustyrockets Good point'
44,"'My son, Saxon, was amazed that so many paper newspapers are still produced every day. \n\nHe said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.'"
45,'https://t.co/RcKPRe8eiM'
46,"'Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2'"
47,"'@lacker @ilyasut Even then, Lenin would’ve gotten nowhere without Ludendorff’s train'"
48,'@Tesmanian_com Charming …'
49,'https://t.co/qeiDmU3sOg'
50,'https://t.co/2wpp3F31jA'
51,'Starlink now over 1M user terminals manufactured'
52,'@Stephen_Geiger Siegel is obviously correct'
53,'@SecBlinken Activating Starlink …'
54,'@teslaownersSV @stevenmarkryan Education is the path out of poverty and Internet access enables education'
55,'@stevenmarkryan Exactly'
56,'Starlink connecting schools in the Amazon https://t.co/Xy70D0sk8N'
57,'@jackfarrington @PopMech It is'
58,'@PopMech Why is this a PopMech story?'
59,'@BillyM2k https://t.co/vFVHaB1l4t https://t.co/PupzZNZcPE'
60,'@ajtourville @Twitter @paraga Yup (sigh)'
61,'@MuskUniversity Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species'
62,"'@stocktalkweekly @WholeMarsBlog @SawyerMerritt The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.'"
63,"'@JoeTegtmeyer @teslascope @johnkrausphotos Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.'"
64,'@Rainmaker1973 @biolocousb While (!pheromone) {}'
65,'@BillyM2k 🤣👍'
66,'@teslaownersSV @SawyerMerritt Shaded patio'
67,"'@SawyerMerritt Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)'"
68,'@MuskUniversity Aka cogency'
69,'@BillyM2k Looks awesome 😎'
70,'@teslaownersSV @Teslarati Maybe little electric Tesla boats with a retro-futuristic Victorian design'
71,"'@Teslarati Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak'"
72,'@Teslarati Area from south Giga to river really will be next-level great &amp; open to public!'
73,"'@Teslarati @KlenderJoey Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet'"
74,"'@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I was instrumental in creating OpenAI, which made DALL-E'"
75,"'@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)'"
76,"'@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.'"
77,'@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich For sure'
78,"'@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :('"
79,'@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich This is true'
80,"'@Teslarati @ResidentSponge With some improvements, it will achieve 300 Mps'"
81,"'@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.\n\nAlso, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.'"
82,"'@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I went to government schools, not private, except for part of one year in third grade'"
83,"'@NASASpaceflight @yasin_shafiei @thejackbeyer @BocaChicaGal @NicAnsuini Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape'"
84,'@cb_doge @PPathole @RBReich 🤣'
85,'@PPathole @RBReich https://t.co/82b0Msiktf'
